Category,Name,Author,KeyWords
Religious,AmaWathura,Gurulugomi,"['Gurulugomi', ' Gatapada', ' Parani', ' Pali', ' Attakatha']"
Religious,ButhSarana,Widyachakrawarthin,"['Widyachakrawarthin', ' Jathaka', ' Weera Katha', ' Parani', 'Tharasaya']"
Religious,Paramartha Wibagaya Sahitha Winayopadeshaya,Witiyala Sri Sarananda Maha Sthawira,"['Upadesha', ' Winaya Karma', ' Pooja Krama', ' Daramaya', ' Srala Basa']"
Religious,Pachna Prabha,Thrikunamalaye Ananda Sthawira,"['Prachnawa', ' Weerya', ' Arisen Ahubudu', ' Samajaya', ' Nirwanaya Awabodaya']"
Religious,Budu Dahama Ha Buddagama,M.M.J Marasingha,"['Parinirwanaya', ' Baudda Ithihasaya', ' Ethihasika Sthana', ' Pooja Krama', ' Wandana Krama']"
Religious,Datawanshaya,Mahadharya Wagama Piyarathana Himi,"['Indiya', ' Lankawa', ' Ethihasika Sthana', ' Dlada Maligawa', ' Raja Katha']"
Religious,Maha Bodhi Wansha Granthi Padaya,Gathare Dammapala Himi,"['Buuda Charithaya', ' Sinhala', ' Sri Maha Bodiya', ' Wansha Katha', ' Pali']"
Religious,Pansiya Panas Jathaka Katha Potha Saha Gatum Nirakaranaya,Sarath Hettiarachchi Piyanama,"['Gatum', ' Jathaka Katha', ' Smajaya', ' Indiya', ' Deshapalanika']"
Religious,Sahana,Dawamottawe Himi,"['Nuwana', ' Mawa', ' Adaraya', ' Saral Basa', ' Diyunu weeme Krama']"
Religious,Baudda Darshanaya Adyanaya,Mahacharya Akirigala Nanda Himi,"['Saradarma', ' Bauuda Darshanaya', ' Nirwanaya', ' Karmaya', ' Gaburu Darmaya']"
Religious,Chaththalisakara Maha Wipassana Bawanawa,Rerukane Chandawimala Maha Sthawira,"['Rerukane Chandawimala Maha Sthawira', ' Bawana', ' Karmaya', ' Nirwanaya', ' Anithya ']"
Religious,Bikshu Bikshununi Prathimoksha Warnanawa,Poojya Panangala Jinarathana Nahimi,"['wimukthiya', ' Bikshu', ' Prathimokshaya', ' WishuddiMargaya', ' Nirwanaya']"
Religious,Kudusika Wiwaranaya,Panditha Waligama Chanarathana Himi,"['Wiwarana', ' Bikshu', ' Seelaya', ' Gatha', ' Sirith Wirith']"
Religious,Mahanakama Ha Samanera Bana Daham Potha,Handu Palpola Mahinda Sthawira,"['Bikshu', ' Winaya Krma', ' Sirith Wirith', ' Shasanaya', ' Wiharasthana']"
